image_name,label
00001.png,7
00002.png,0
00003.png,0
00004.png,5
00005.png,5
00006.png,1
00007.png,8
00008.png,3
00009.png,9
00010.png,7
00011.png,8
00012.png,1
00013.png,8
00014.png,7
00015.png,6
00016.png,7
00017.png,3
00018.png,9
00019.png,1
00020.png,3
00021.png,9
00022.png,9
00023.png,1
00024.png,4
00025.png,4
00026.png,3
00027.png,6
00028.png,9
00029.png,3
00030.png,9
00031.png,9
00032.png,2
00033.png,0
00034.png,5
00035.png,9
00036.png,2
00037.png,1
00038.png,4
00039.png,0
00040.png,5
00041.png,0
00042.png,1
00043.png,2
00044.png,6
00045.png,1
00046.png,6
00047.png,3
00048.png,7
00049.png,1
00050.png,2
00051.png,9
00052.png,5
00053.png,1
00054.png,9
00055.png,2
00056.png,9
00057.png,7
00058.png,2
00059.png,9
00060.png,8
00061.png,0
00062.png,7
00063.png,2
00064.png,7
00065.png,9
00066.png,3
00067.png,4
00068.png,6
00069.png,9
00070.png,5
00071.png,2
00072.png,7
00073.png,7
00074.png,0
00075.png,1
00076.png,5
00077.png,2
00078.png,7
00079.png,6
00080.png,7
00081.png,1
00082.png,8
00083.png,5
00084.png,0
00085.png,4
00086.png,3
00087.png,8
00088.png,6
00089.png,8
00090.png,3
00091.png,6
00092.png,0
00093.png,4
00094.png,3
00095.png,6
00096.png,0
00097.png,9
00098.png,7
00099.png,3
00100.png,7
00101.png,7
00102.png,9
00103.png,9
00104.png,5
00105.png,1
00106.png,9
00107.png,7
00108.png,6
00109.png,6
00110.png,1
00111.png,8
00112.png,3
00113.png,6
00114.png,1
00115.png,9
00116.png,1
00117.png,3
00118.png,3
00119.png,4
00120.png,3
00121.png,3
00122.png,9
00123.png,9
00124.png,5
00125.png,0
00126.png,5
00127.png,9
00128.png,5
00129.png,9
00130.png,0
00131.png,0
00132.png,4
00133.png,3
00134.png,2
00135.png,7
00136.png,4
00137.png,0
00138.png,6
00139.png,3
00140.png,5
00141.png,2
00142.png,1
00143.png,2
00144.png,2
00145.png,8
00146.png,0
00147.png,5
00148.png,3
00149.png,2
00150.png,1
00151.png,0
00152.png,4
00153.png,3
00154.png,1
00155.png,4
00156.png,0
00157.png,1
00158.png,1
00159.png,2
00160.png,5
00161.png,6
00162.png,4
00163.png,3
00164.png,4
00165.png,9
00166.png,7
00167.png,0
00168.png,7
00169.png,4
00170.png,5
00171.png,5
00172.png,3
00173.png,4
00174.png,6
00175.png,8
00176.png,9
00177.png,9
00178.png,0
00179.png,1
00180.png,4
00181.png,6
00182.png,4
00183.png,1
00184.png,7
00185.png,2
00186.png,6
00187.png,6
00188.png,6
00189.png,4
00190.png,5
00191.png,8
00192.png,0
00193.png,4
00194.png,5
00195.png,3
00196.png,2
00197.png,7
00198.png,8
00199.png,1
00200.png,4
00201.png,3
00202.png,5
00203.png,0
00204.png,5
00205.png,0
00206.png,3
00207.png,9
00208.png,4
00209.png,0
00210.png,4
00211.png,3
00212.png,7
00213.png,1
00214.png,2
00215.png,5
00216.png,9
00217.png,3
00218.png,7
00219.png,5
00220.png,3
00221.png,2
00222.png,1
00223.png,9
00224.png,6
00225.png,4
00226.png,6
00227.png,6
00228.png,5
00229.png,8
00230.png,7
00231.png,6
00232.png,0
00233.png,3
00234.png,2
00235.png,6
00236.png,2
00237.png,0
00238.png,0
00239.png,9
00240.png,6
00241.png,9
00242.png,6
00243.png,1
00244.png,4
00245.png,2
00246.png,4
00247.png,3
00248.png,1
00249.png,8
00250.png,6
00251.png,1
00252.png,1
00253.png,6
00254.png,7
00255.png,8
00256.png,3
00257.png,8
00258.png,4
00259.png,6
00260.png,0
00261.png,7
00262.png,7
00263.png,4
00264.png,5
00265.png,0
00266.png,6
00267.png,0
00268.png,7
00269.png,9
00270.png,7
00271.png,7
00272.png,3
00273.png,3
00274.png,1
00275.png,2
00276.png,3
00277.png,0
00278.png,3
00279.png,7
00280.png,8
00281.png,3
00282.png,2
00283.png,4
00284.png,7
00285.png,5
00286.png,2
00287.png,8
00288.png,1
00289.png,1
00290.png,5
00291.png,8
00292.png,1
00293.png,0
00294.png,9
00295.png,0
00296.png,1
00297.png,5
00298.png,2
00299.png,7
00300.png,4
00301.png,2
00302.png,9
00303.png,4
00304.png,4
00305.png,7
00306.png,6
00307.png,7
00308.png,4
00309.png,3
00310.png,1
00311.png,2
00312.png,4
00313.png,3
00314.png,2
00315.png,2
00316.png,1
00317.png,8
00318.png,0
00319.png,3
00320.png,9
00321.png,3
00322.png,3
00323.png,7
00324.png,9
00325.png,3
00326.png,5
00327.png,4
00328.png,4
00329.png,1
00330.png,8
00331.png,9
00332.png,0
00333.png,3
00334.png,3
00335.png,4
00336.png,2
00337.png,6
00338.png,2
00339.png,5
00340.png,4
00341.png,5
00342.png,0
00343.png,7
00344.png,7
00345.png,4
00346.png,3
00347.png,9
00348.png,0
00349.png,0
00350.png,2
00351.png,3
00352.png,0
00353.png,4
00354.png,2
00355.png,1
00356.png,3
00357.png,5
00358.png,6
00359.png,3
00360.png,2
00361.png,7
00362.png,2
00363.png,3
00364.png,2
00365.png,8
00366.png,1
00367.png,1
00368.png,4
00369.png,7
00370.png,0
00371.png,9
00372.png,3
00373.png,6
00374.png,3
00375.png,3
00376.png,6
00377.png,9
00378.png,3
00379.png,3
00380.png,4
00381.png,3
00382.png,6
00383.png,5
00384.png,1
00385.png,6
00386.png,3
00387.png,1
00388.png,0
00389.png,0
00390.png,6
00391.png,6
00392.png,4
00393.png,2
00394.png,2
00395.png,9
00396.png,1
00397.png,2
00398.png,8
00399.png,8
00400.png,7
00401.png,1
00402.png,5
00403.png,3
00404.png,0
00405.png,0
00406.png,3
00407.png,5
00408.png,2
00409.png,9
00410.png,8
00411.png,5
00412.png,1
00413.png,5
00414.png,7
00415.png,6
00416.png,9
00417.png,7
00418.png,1
00419.png,4
00420.png,3
00421.png,4
00422.png,9
00423.png,7
00424.png,2
00425.png,4
00426.png,7
00427.png,6
00428.png,3
00429.png,0
00430.png,8
00431.png,3
00432.png,9
00433.png,5
00434.png,0
00435.png,0
00436.png,1
00437.png,1
00438.png,6
00439.png,7
00440.png,2
00441.png,7
00442.png,9
00443.png,0
00444.png,9
00445.png,7
00446.png,3
00447.png,1
00448.png,9
00449.png,2
00450.png,7
00451.png,1
00452.png,5
00453.png,4
00454.png,5
00455.png,3
00456.png,9
00457.png,0
00458.png,7
00459.png,5
00460.png,9
00461.png,1
00462.png,2
00463.png,9
00464.png,6
00465.png,8
00466.png,8
00467.png,4
00468.png,5
00469.png,8
00470.png,0
00471.png,5
00472.png,3
00473.png,1
00474.png,2
00475.png,6
00476.png,7
00477.png,5
00478.png,8
00479.png,9
00480.png,5
00481.png,5
00482.png,6
00483.png,7
00484.png,5
00485.png,1
00486.png,2
00487.png,2
00488.png,4
00489.png,5
00490.png,8
00491.png,8
00492.png,4
00493.png,6
00494.png,4
00495.png,5
00496.png,0
00497.png,5
00498.png,7
00499.png,4
00500.png,7
00501.png,6
00502.png,7
00503.png,3
00504.png,6
00505.png,8
00506.png,5
00507.png,0
00508.png,6
00509.png,1
00510.png,2
00511.png,0
00512.png,7
00513.png,3
00514.png,0
00515.png,3
00516.png,1
00517.png,8
00518.png,9
00519.png,7
00520.png,7
00521.png,7
00522.png,1
00523.png,3
00524.png,0
00525.png,9
00526.png,1
00527.png,7
00528.png,4
00529.png,1
00530.png,8
00531.png,8
00532.png,6
00533.png,9
00534.png,6
00535.png,1
00536.png,7
00537.png,5
00538.png,1
00539.png,1
00540.png,4
00541.png,2
00542.png,5
00543.png,1
00544.png,3
00545.png,6
00546.png,7
00547.png,5
00548.png,0
00549.png,8
00550.png,6
00551.png,1
00552.png,7
00553.png,3
00554.png,6
00555.png,4
00556.png,0
00557.png,8
00558.png,4
00559.png,6
00560.png,4
00561.png,7
00562.png,8
00563.png,2
00564.png,1
00565.png,3
00566.png,9
00567.png,5
00568.png,4
00569.png,7
00570.png,9
00571.png,4
00572.png,6
00573.png,3
00574.png,0
00575.png,7
00576.png,9
00577.png,8
00578.png,0
00579.png,0
00580.png,2
00581.png,2
00582.png,9
00583.png,1
00584.png,8
00585.png,0
00586.png,4
00587.png,2
00588.png,2
00589.png,1
00590.png,3
00591.png,0
00592.png,4
00593.png,2
00594.png,0
00595.png,9
00596.png,6
00597.png,4
00598.png,4
00599.png,1
00600.png,4
00601.png,5
00602.png,0
00603.png,6
00604.png,3
00605.png,4
00606.png,3
00607.png,6
00608.png,0
00609.png,9
00610.png,4
00611.png,5
00612.png,4
00613.png,7
00614.png,7
00615.png,8
00616.png,7
00617.png,2
00618.png,7
00619.png,3
00620.png,4
00621.png,2
00622.png,3
00623.png,9
00624.png,6
00625.png,6
00626.png,4
00627.png,4
00628.png,3
00629.png,7
00630.png,0
00631.png,0
00632.png,3
00633.png,4
00634.png,1
00635.png,6
00636.png,1
00637.png,5
00638.png,7
00639.png,0
00640.png,7
00641.png,6
00642.png,4
00643.png,2
00644.png,3
00645.png,4
00646.png,1
00647.png,2
00648.png,5
00649.png,4
00650.png,5
00651.png,2
00652.png,7
00653.png,5
00654.png,1
00655.png,6
00656.png,2
00657.png,9
00658.png,4
00659.png,8
00660.png,0
00661.png,8
00662.png,8
00663.png,6
00664.png,2
00665.png,4
00666.png,3
00667.png,0
00668.png,9
00669.png,9
00670.png,5
00671.png,1
00672.png,7
00673.png,3
00674.png,5
00675.png,3
00676.png,4
00677.png,5
00678.png,7
00679.png,2
00680.png,9
00681.png,8
00682.png,3
00683.png,2
00684.png,4
00685.png,7
00686.png,9
00687.png,7
00688.png,1
00689.png,8
00690.png,7
00691.png,7
00692.png,1
00693.png,4
00694.png,3
00695.png,7
00696.png,1
00697.png,9
00698.png,3
00699.png,5
00700.png,1
00701.png,4
00702.png,6
00703.png,4
00704.png,7
00705.png,6
00706.png,6
00707.png,6
00708.png,5
00709.png,7
00710.png,8
00711.png,8
00712.png,7
00713.png,9
00714.png,0
00715.png,9
00716.png,7
00717.png,8
00718.png,9
00719.png,2
00720.png,7
00721.png,8
00722.png,9
00723.png,9
00724.png,4
00725.png,1
00726.png,2
00727.png,0
00728.png,9
00729.png,7
00730.png,9
00731.png,4
00732.png,0
00733.png,0
00734.png,8
00735.png,7
00736.png,2
00737.png,4
00738.png,4
00739.png,0
00740.png,4
00741.png,8
00742.png,4
00743.png,5
00744.png,1
00745.png,8
00746.png,8
00747.png,1
00748.png,4
00749.png,1
00750.png,6
00751.png,9
00752.png,4
00753.png,8
00754.png,2
00755.png,4
00756.png,6
00757.png,0
00758.png,0
00759.png,5
00760.png,2
00761.png,5
00762.png,8
00763.png,9
00764.png,6
00765.png,1
00766.png,3
00767.png,8
00768.png,0
00769.png,9
00770.png,0
00771.png,7
00772.png,1
00773.png,4
00774.png,5
00775.png,1
00776.png,1
00777.png,8
00778.png,9
00779.png,0
00780.png,4
00781.png,7
00782.png,5
00783.png,0
00784.png,3
00785.png,7
00786.png,0
00787.png,1
00788.png,9
00789.png,1
00790.png,0
00791.png,7
00792.png,0
00793.png,9
00794.png,8
00795.png,0
00796.png,0
00797.png,1
00798.png,4
00799.png,9
00800.png,4
00801.png,1
00802.png,8
00803.png,6
00804.png,9
00805.png,5
00806.png,5
00807.png,7
00808.png,3
00809.png,4
00810.png,5
00811.png,6
00812.png,6
00813.png,9
00814.png,3
00815.png,1
00816.png,2
00817.png,1
00818.png,1
00819.png,1
00820.png,2
00821.png,7
00822.png,1
00823.png,3
00824.png,8
00825.png,0
00826.png,0
00827.png,8
00828.png,2
00829.png,1
00830.png,0
00831.png,9
00832.png,9
00833.png,2
00834.png,8
00835.png,0
00836.png,8
00837.png,7
00838.png,8
00839.png,8
00840.png,9
00841.png,4
00842.png,8
00843.png,4
00844.png,1
00845.png,6
00846.png,0
00847.png,5
00848.png,4
00849.png,6
00850.png,3
00851.png,0
00852.png,9
00853.png,7
00854.png,0
00855.png,3
00856.png,7
00857.png,3
00858.png,9
00859.png,3
00860.png,1
00861.png,8
00862.png,4
00863.png,2
00864.png,9
00865.png,2
00866.png,7
00867.png,8
00868.png,9
00869.png,5
00870.png,6
00871.png,3
00872.png,4
00873.png,1
00874.png,7
00875.png,9
00876.png,1
00877.png,1
00878.png,4
00879.png,1
00880.png,7
00881.png,5
00882.png,5
00883.png,1
00884.png,8
00885.png,0
00886.png,1
00887.png,7
00888.png,3
00889.png,3
00890.png,1
00891.png,8
00892.png,0
00893.png,5
00894.png,8
00895.png,5
00896.png,2
00897.png,4
00898.png,4
00899.png,4
00900.png,6
00901.png,7
00902.png,0
00903.png,4
00904.png,0
00905.png,8
00906.png,9
00907.png,9
00908.png,9
00909.png,7
00910.png,7
00911.png,5
00912.png,5
00913.png,2
00914.png,8
00915.png,9
00916.png,7
00917.png,1
00918.png,2
00919.png,0
00920.png,7
00921.png,5
00922.png,2
00923.png,7
00924.png,9
00925.png,4
00926.png,5
00927.png,9
00928.png,9
00929.png,1
00930.png,5
00931.png,0
00932.png,1
00933.png,0
00934.png,1
00935.png,6
00936.png,1
00937.png,0
00938.png,1
00939.png,2
00940.png,8
00941.png,2
00942.png,8
00943.png,5
00944.png,3
00945.png,2
00946.png,1
00947.png,8
00948.png,8
00949.png,8
00950.png,3
00951.png,2
00952.png,9
00953.png,3
00954.png,7
00955.png,1
00956.png,4
00957.png,8
00958.png,2
00959.png,8
00960.png,1
00961.png,0
00962.png,8
00963.png,5
00964.png,5
00965.png,8
00966.png,9
00967.png,8
00968.png,3
00969.png,8
00970.png,7
00971.png,4
00972.png,3
00973.png,8
00974.png,4
00975.png,9
00976.png,0
00977.png,9
00978.png,4
00979.png,7
00980.png,2
00981.png,2
00982.png,4
00983.png,9
00984.png,6
00985.png,8
00986.png,6
00987.png,2
00988.png,0
00989.png,3
00990.png,4
00991.png,4
00992.png,6
00993.png,5
00994.png,6
00995.png,8
00996.png,5
00997.png,5
00998.png,5
00999.png,6
01000.png,8
01001.png,0
01002.png,4
01003.png,1
01004.png,0
01005.png,8
01006.png,7
01007.png,1
01008.png,0
01009.png,8
01010.png,5
01011.png,8
01012.png,9
01013.png,4
01014.png,1
01015.png,7
01016.png,0
01017.png,3
01018.png,3
01019.png,5
01020.png,2
01021.png,1
01022.png,2
01023.png,7
01024.png,7
01025.png,3
01026.png,2
01027.png,0
01028.png,1
01029.png,2
01030.png,9
01031.png,7
01032.png,9
01033.png,3
01034.png,7
01035.png,1
01036.png,8
01037.png,2
01038.png,3
01039.png,7
01040.png,5
01041.png,9
01042.png,5
01043.png,7
01044.png,6
01045.png,4
01046.png,9
01047.png,5
01048.png,1
01049.png,1
01050.png,1
01051.png,0
01052.png,3
01053.png,7
01054.png,4
01055.png,4
01056.png,3
01057.png,2
01058.png,7
01059.png,0
01060.png,5
01061.png,8
01062.png,5
01063.png,0
01064.png,8
01065.png,4
01066.png,4
01067.png,0
01068.png,7
01069.png,7
01070.png,1
01071.png,4
01072.png,7
01073.png,0
01074.png,9
01075.png,9
01076.png,3
01077.png,9
01078.png,1
01079.png,6
01080.png,2
01081.png,1
01082.png,9
01083.png,2
01084.png,0
01085.png,3
01086.png,1
01087.png,1
01088.png,2
01089.png,8
01090.png,2
01091.png,8
01092.png,8
01093.png,0
01094.png,1
01095.png,0
01096.png,4
01097.png,2
01098.png,7
01099.png,5
01100.png,4
01101.png,7
01102.png,8
01103.png,9
01104.png,4
01105.png,8
01106.png,9
01107.png,0
01108.png,6
01109.png,3
01110.png,4
01111.png,3
01112.png,4
01113.png,1
01114.png,5
01115.png,2
01116.png,1
01117.png,5
01118.png,3
01119.png,8
01120.png,1
01121.png,9
01122.png,6
01123.png,1
01124.png,4
01125.png,1
01126.png,2
01127.png,8
01128.png,6
01129.png,4
01130.png,5
01131.png,9
01132.png,7
01133.png,8
01134.png,4
01135.png,9
01136.png,0
01137.png,5
01138.png,4
01139.png,6
01140.png,1
01141.png,7
01142.png,1
01143.png,8
01144.png,5
01145.png,7
01146.png,0
01147.png,4
01148.png,8
01149.png,2
01150.png,1
01151.png,4
01152.png,8
01153.png,6
01154.png,1
01155.png,3
01156.png,8
01157.png,8
01158.png,0
01159.png,4
01160.png,9
01161.png,1
01162.png,9
01163.png,2
01164.png,9
01165.png,3
01166.png,8
01167.png,3
01168.png,4
01169.png,4
01170.png,6
01171.png,3
01172.png,5
01173.png,7
01174.png,4
01175.png,2
01176.png,8
01177.png,0
01178.png,8
01179.png,2
01180.png,2
01181.png,9
01182.png,1
01183.png,6
01184.png,8
01185.png,9
01186.png,3
01187.png,3
01188.png,1
01189.png,3
01190.png,0
01191.png,5
01192.png,6
01193.png,4
01194.png,4
01195.png,0
01196.png,1
01197.png,5
01198.png,6
01199.png,7
01200.png,4
01201.png,9
